content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score,clean_content,segmented
好吓人的staff表。不评分的理由同老版。,0,未评分,2026-1-29 01:27,Hectopascal,18692,哆啦A梦,44,8.5,staff,staff
"15年到20年的基本都看过 妹想到现在b站盗版横行又能继续看了^ ^
反复看的几集：2016.01.22一模一样宠物大集合、2017.07.28大象与叔叔、2017.10.20漂亮的小咪、2018.08.24 说谎镜",9,神作,2026-1-27 08:42,AKKK,18692,哆啦A梦,44,8.5,"1520 b 
20160122201707282017102020180824",1520 b 20160122201707282017102020180824
"【10/10】
不可或缺且永不过时的童年经典，谎话800篇更是将本作提升至无与伦比的地位。想象力与童真永远都是子供向乃至于所有奇思动画的必备点。而哆啦A梦就是这也一部满足了我对想象力与趣味童真一切想象的作品，在想象力的高超，趣味的老少咸宜基础上，哆啦A梦成就并成为了子供向动画的代名词，是一座不可逾越的大山。真的看哭一遍又一遍啊",10,超神作,2025-8-11 02:22,岚瑟,18692,哆啦A梦,44,8.5,"1010
800AA",1010 800AA
B+ ||水田わさびcv版，比大山版更低龄化些，近些年部分原创回极为敷衍//*ep174，196，420//目前进度ep791,6,还行,2024-12-3 15:29,apr3014,18692,哆啦A梦,44,8.5,B cvep174196420ep791,B cvep174196420ep791
‌哆啦A梦的生日是2112年9月3日，想要活到那天本是一种奢望，有时却异想天开地认为这并非什么难事，这么看来学生时代、青年时代只是连前奏都算不上完整的短暂一簇，成家立业的时期在将来一看或许也会觉得很短暂，未来的人生原来还有这么长？说不定吧。,9,神作,2024-10-1 09:12,里斯本,18692,哆啦A梦,44,8.5,A211293,A211293
换了那个巨难听的新版op后，整个动画就像丢了魂一样，虽然15年之后也不咋样。哆啦a梦究竟是什么？是21世纪20年代依旧使用50年前的道具？这样的哆啦a梦，还是消失在2005年比较好。（练日语还是不错的～～ダジャレーダー！！）,3,差,2024-4-21 13:22,全部成为F,18692,哆啦A梦,44,8.5,op15a212050a2005,op15a212050a2005
Who is the eternal God,9,神作,2024-1-31 20:55,天韵霄,18692,哆啦A梦,44,8.5,Who is the eternal God,Who is the eternal God
list: 2024-,10,超神作,2024-1-25 21:26,梦野湊,18692,哆啦A梦,44,8.5,list 2024,list 2024
"童年经典，每个孩子都幻想过拥有一只哆啦A梦，可惜实在太长了，剧里的各种奇思妙想没能观赏完整。
如今我仍偶尔幻想哆啦A梦能出现在我身边……
8+1分。",9,神作,2023-5-3 15:20,喧嚣之風,18692,哆啦A梦,44,8.5,"A
A
81",A A 81
ep.400,8,力荐,2023-4-28 02:49,小延,18692,哆啦A梦,44,8.5,ep400,ep400
childhood,8,力荐,2023-2-1 01:31,MaKoto,18692,哆啦A梦,44,8.5,childhood,childhood
"水田版没全看完。但2014-2022基本都看过了，这是我最希望我的孩子吗,if any,看的动画",10,超神作,2022-12-24 01:07,ikaros,18692,哆啦A梦,44,8.5,20142022if any,20142022if any
哆啦A梦【漫画改动画】补标 / 8.0 / 8.3（左-预评，中-自评，右-大众评）童年,8,力荐,2022-11-27 20:57,夏娜的蜜瓜包,18692,哆啦A梦,44,8.5,A  80  83,A 80 83
